svm_y8_W,svm_y8_T,svm_y6_W,svm_y6_T,svm_y2_W,svm_y2_T,log_y8_W,log_y8_T,log_y6_W,log_y6_T,log_y2_W,log_y2_T,mnb_y8_code_W,mnb_y8_code_T,mnb_y8_functional-inline_W,mnb_y8_functional-inline_T,mnb_y8_functional-method_W,mnb_y8_functional-method_T,mnb_y8_functional-module_W,mnb_y8_functional-module_T,mnb_y8_general_W,mnb_y8_general_T,mnb_y8_notice_W,mnb_y8_notice_T,mnb_y8_todo_W,mnb_y8_todo_T,mnb_y6_code_W,mnb_y6_code_T,mnb_y6_functional_W,mnb_y6_functional_T,mnb_y6_general_W,mnb_y6_general_T,mnb_y6_notice_W,mnb_y6_notice_T,mnb_y6_todo_W,mnb_y6_todo_T,mnb_y2_functional_W,mnb_y2_functional_T,mnb_y2_non-functional_W,mnb_y2_non-functional_T
-1.662671557428112,err,-1.662673204773193,err,1.3754845997555574,Potrebno,2.5535364120100312,self,2.406242135384391,self,4.184923114188444,Napraviti,-5.895899979181208,()),-6.059454238325164,koje,-5.707201006387896,studenta,-5.767535044518685,predmeta,-5.84051467063287,12:03:37,-5.839683958793282,SQL,-5.65951461556986,kolone,-5.895899979181208,()),-6.021978434800218,Funkcija,-5.84051467063287,12:03:37,-5.839683958793282,SQL,-5.65951461556986,kolone,-6.118593337349843,Funkcija,-6.036878271797583,File
1.6230874964738726,class,1.6230850942728507,class,1.3727233559198402,cpp,2.547412121133547,ELSE,2.3927697495706695,ELSE,4.159737597337884,@see,-5.924047227000799,/,-6.073437798839542,tabele,-5.75096289012685,koju,-5.792524998050341,Primer,-5.854946829328663,"""""",-5.85169382348838,a,-5.678093706065419,vraca,-5.924047227000799,/,-6.106638699588414,samo,-5.854946829328663,"""""",-5.85169382348838,a,-5.678093706065419,vraca,-6.202938469055442,samo,-6.054021429314108,TODO
1.6221898429821289,self,1.6221902461189723,self,1.3727220412638625,paznju,2.5385364151821914,'',2.3848403273553447,'',4.140262699229172,=[,-5.979651023707651,x,-6.0749076084377585,/,-5.759006576055132,od,-5.807805030413728,su,-5.908144877624191,file,-5.854490374523319,POST,-5.7051762471151015,podataka,-5.979651023707651,x,-6.1168239291834166,@param,-5.908144877624191,file,-5.854490374523319,POST,-5.7051762471151015,podataka,-6.213083963417233,@param,-6.06585169757717,3
1.6144877923052567,year,1.6144891431340112,year,1.3546013474511078,naredni,2.4332097901157788,+,-2.3702653082404943,a,4.102453504110223,dodati,-6.014987381406103,==,-6.123229545019425,o,-5.769710237428989,"""",-5.817822153087196,Ova,-5.919578145693791,iz,-5.918598627981933,kada,-5.712648122281313,"""""",-6.014987381406103,==,-6.142392374460439,nije,-5.919578145693791,iz,-5.918598627981933,kada,-5.712648122281313,"""""",-6.238550865142482,nije,-6.089994222645537,upit
1.610423663574391,bbc,1.6104236982552473,bbc,1.333900241948273,koriscenja,-2.4268008599737043,i,-2.321650975841952,max_n,4.049052501644851,Potrebno,-6.046118982968615,for,-6.147294708253824,niza,-5.774289278288642,svih,-5.89900957794209,ispisuje,-5.919578145693791,Projekat,-5.957553710103792,],-5.71482409177367,Sales,-6.046118982968615,for,-6.154747237915192,predmeta,-5.919578145693791,Projekat,-5.957553710103792,],-5.71482409177367,Sales,-6.2508557275677985,predmeta,-6.124194724982611,print
1.6101250282767645,JOIN,1.6101251492362882,JOIN,1.3244103494316701,2020,-2.4020632580086385,a,2.2546719562739534,WHEN,4.026763292277577,(,-6.0644870125963966,=[,-6.153615802216445,',-5.777255345754936,procesa,-5.9001325245885115,podataka,-5.9651575227811655,Ivan,-5.964229266641394,Server,-5.7161563643846725,1,-6.0644870125963966,=[,-6.163004027830601,vrednosti,-5.9651575227811655,Ivan,-5.964229266641394,Server,-5.7161563643846725,1,-6.2590787570293,vrednosti,-6.147450639134619,))
1.5757501619783292,from,1.575750989045012,from,1.316178602498875,import,2.3944916572660144,WHEN,2.2546719562739534,THEN,4.02410016866765,],-6.089782388025322,!,-6.204180756610654,ili,-5.840899465429583,dohvata,-5.90018131322617,broja,-5.9651575227811655,Pribela,-6.003033087992279,[,-5.739001370189875,naredbu,-6.089782388025322,!,-6.181714663596882,svih,-5.9651575227811655,Pribela,-6.003033087992279,[,-5.739001370189875,naredbu,-6.277711853398107,svih,-6.151752559992217,iz
1.5718857351853317,gui,1.5718847701948586,gui,1.305443598872905,@see,2.3944916572660144,THEN,2.223942535557618,np,3.9735623257201453,4.,-6.100408379158917,X,-6.218265996557189,ima,-5.842190781066134,fajla,-5.907271586318764,3,-6.078223923671614,Datum,-6.035174576632365,metodu,-5.749620772692804,vrednost,-6.100408379158917,X,-6.203779645530485,broja,-6.078223923671614,Datum,-6.035174576632365,metodu,-5.749620772692804,vrednost,-6.299683519111223,broja,-6.195311014856324,SELECT
-1.5691349274718371,se,-1.5691337029174464,se,1.2965078568522574,dodati,-2.3108774453495635,max_n,-2.1772329596941273,pozivanje,3.955355745170378,26,-6.105476066900231,s,-6.244746217989986,=,-5.860199341814825,niti,-5.92804078154741,sve,-6.1076711973015065,U,-6.049986898461787,kao,-5.7946990175258035,Upit,-6.105476066900231,s,-6.233169013017102,ili,-6.1076711973015065,U,-6.049986898461787,kao,-5.7946990175258035,Upit,-6.328945367321508,ili,-6.200469185578064,ne
1.552661863880398,tf,1.5526616599412733,tf,1.2938202017591587,plt,2.3025354130211135,np,2.1527495451920102,[,3.9535091273310887,cpp,-6.116422604512705,FROM,-6.247582369639753,koja,-5.889068052307353,treba,-5.932082598639795,of,-6.1076711973015065,//,-6.050256606334405,slozenost,-5.8058664005919205,funkcije,-6.116422604512705,FROM,-6.237322692108841,dodavanje,-6.1076711973015065,//,-6.050256606334405,slozenost,-5.8058664005919205,funkcije,-6.333080720934319,dodavanje,-6.219280038799859,koja
-1.5468032609500373,abc,-1.5468044142455843,abc,1.2913166004545058,naredbu,2.191669191948312,DAY,-2.101905812136105,i,3.9271378850043717,Halim,-6.1503569099422375,in,-6.316999779768405,"""""",-5.92966257801761,li,-5.956272906471499,iz,-6.1076711973015065,Halim,-6.050256606334405,Vremenska,-5.814343158275528,Korišćenje,-6.1503569099422375,in,-6.256554852022653,1,-6.1076711973015065,Halim,-6.050256606334405,Vremenska,-5.814343158275528,Korišćenje,-6.352227036365894,1,-6.227359890848115,treba
1.5396201464265864,+,1.539619294896371,+,1.2874262428664447,Halim,2.191669191948312,CURRENT_TIMESTAMP,2.093694792855035,ENDS,3.9271378850043717,Poboljsati,-6.151001441828063,%,-6.370571143770835,kao,-6.004496606691507,Redni,-5.9732350588335255,@module,-6.1076711973015065,ZBIRCI,-6.058162061860999,biti,-5.814734760999371,Brisanje,-6.151001441828063,%,-6.268676372336616,=,-6.1076711973015065,ZBIRCI,-6.058162061860999,biti,-5.814734760999371,Brisanje,-6.364293600672344,=,-6.239411464615795,!
1.5319694502455223,WHEN,1.5319683413613066,WHEN,1.2874252899727456,26,2.1865399429306622,ENDS,2.0343379288662886,CURRENT_TIMESTAMP,3.9137958157872603,2020,-6.164539555942602,len,-6.38821812213732,2,-6.0359676744248665,o,-6.02304481378707,samo,-6.127085494854235,April,-6.071881169528215,bi,-5.824172739247708,kao,-6.164539555942602,len,-6.2869421482297625,niti,-6.127085494854235,April,-6.071881169528215,bi,-5.824172739247708,kao,-6.382475301365069,niti,-6.2804855698316,-
1.5319694502455223,THEN,1.5319683413613066,THEN,1.2874246347751317,Poboljsati,2.180218975146928,public,2.0343379288662886,DAY,3.896989327430186,naredni,-6.193502739536964,]],-6.392316448762578,niz,-6.105568556599598,Vraća,-6.03353611448827,koje,-6.163263955751578,<,-6.090943753473033,vrednosti,-5.869607107845461,redova,-6.193502739536964,]],-6.2964120604099465,::,-6.163263955751578,<,-6.090943753473033,vrednosti,-5.869607107845461,redova,-6.391901019251481,::,-6.338882537023332,4
