With default hyperparams
svm_y8columns_weights,svm_y8columns_tokens,svm_y6columns_weights,svm_y6columns_tokens,svm_y2columns_weights,svm_y2columns_tokens,log_y8columns_weights,log_y8columns_tokens,log_y6columns_weights,log_y6columns_tokens,log_y2columns_weights,log_y2columns_tokens,mnb_y8columns_weights,mnb_y8columns_tokens,mnb_y6columns_weights,mnb_y6columns_tokens,mnb_y2columns_weights,mnb_y2columns_tokens
0.2986430628315221,'priority,0.29864269714445735,'priority ',0.5094463837745085,eslint-disable-line no-debugger,0.4211362051197241,@ SERVERNAME,0.40222237491140794,t.Duration >,0.8369699876098273,Copyright,-7.835987331863412,+,-7.835987331863412,+,-7.064581621312775,( ``
0.2986430628315221,'priority ',0.29864269714445735,'priority,0.5094463837745085,eslint-disable-line,0.4211362051197241,IS set,0.40222237491140794,AND t.Duration,0.8359003675720368,@ see,-7.974137670344229,-,-7.974137670344229,-,-7.093291727195206,with
0.29167583319319257,AVOID_PROFILE,0.29167583469972236,AVOID_PROFILE,0.5094463837745085,no-debugger,0.4211362051197241,SERVERNAME IS,0.4021664341285025,150,0.8354794677908365,see,-8.011877998327076,%,-8.011877998327076,%,-7.12285052943675,"' ,"
0.29167583319319257,define AVOID_PROFILE,0.29167583469972236,define AVOID_PROFILE,0.5094463832694313,PUT,0.4211362051197241,SERVERNAME,0.38827144531272684,#,0.8332782085444503,stderr,-8.011877998327076,Y,-8.011877998327076,Y,-7.174143823824301,!
0.29167582896915123,define MOODYCAMEL_CPP11_THREAD_LOCAL_SUPPORTED,0.2916758022332304,define MOODYCAMEL_CPP11_THREAD_LOCAL_SUPPORTED,0.5094463832694313,PUT api/values/5,0.3955127725603326,true,0.38748396617784,true,0.8329958848012472,setBlankPassword,-8.011877998327076,; \r,-8.011877998327076,; \r,-7.195421222271586,you
0.29167582896915123,MOODYCAMEL_CPP11_THREAD_LOCAL_SUPPORTED,0.2916758022332304,MOODYCAMEL_CPP11_THREAD_LOCAL_SUPPORTED,0.5094463832694313,api/values/5,0.39365202624325285,) ;,0.3873325161244366,IF @,0.8329958848012472,.file_name,-8.051098711480357,Y ],-8.051098711480357,Y ],-7.195421222271586,< <
0.28935718399261934,html_use_opensearch,0.2893571768069745,html_use_opensearch,0.5094463772219515,eslint-enable no-param-reassign,0.38969779405598337,@ @,0.3856139965172681,@ @,0.80058563336974,Select the,-8.051098711480357,[ Y,-8.051098711480357,[ Y,-7.321301468160589,+
0.28935718399261934,html_use_opensearch =,0.2893571768069745,html_use_opensearch =,0.5094463772219515,no-param-reassign,0.3884610197249943,double,0.3808719223532034,double,0.7971394365582262,Select all,-8.091920706000613,new,-8.091920706000613,new,-7.345994080750961,can
0.2891143720477075,IF @,0.28911434801737834,IF @,0.5094463772219515,eslint-enable,0.37925104081883654,IF @,0.3707559671552134,IS,0.7910048345050874,Use,-8.134480320419408,!,-8.134480320419408,!,-7.345994080750961,0
0.28866799870545296,AND,0.28866801292258115,AND,0.5088978425308429,Ignored,0.36664418560849943,MOODYCAMEL_CPP11_THREAD_LOCAL_SUPPORTED,0.3628826307458448,"int ,",0.7836432071789408,@,-8.134480320419408,", ``",-8.134480320419408,", ``",-7.345994080750961,This
